Year,URL,Date,Competition,Opponent,Goals Scored,Goals Received,Attendance,Month,DOW,Result
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsla-10-09-2022,Sunday October 9 2022,MLS Regular Season,LA,1.0,3.0,21284.0,October,Sunday,L
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsatx-03-18-2023,Saturday March 18 2023,MLS Regular Season,Austin,2.0,0.0,19047.0,March,Saturday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsnyc-03-25-2023,Saturday March 25 2023,MLS Regular Season,New York City,1.0,0.0,13024.0,March,Saturday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsla-04-08-2023,Saturday April 8 2023,MLS Regular Season,LA,3.0,0.0,19128.0,April,Saturday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsmia-04-22-2023,Saturday April 22 2023,MLS Regular Season,Miami,1.0,0.0,16045.0,April,Saturday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsrsl-05-06-2023,Saturday May 6 2023,MLS Regular Season,Salt Lake,0.0,0.0,13793.0,May,Saturday,D
2023,https://www.houstondynamofc.com/competitions/u-s-open-cup/2023/matches/houvsskc-05-10-2023,Wednesday May 10 2023,U.S. Open Cup,Kansas City,1.0,0.0,5094.0,May,Wednesday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvssea-05-13-2023,Saturday May 13 2023,MLS Regular Season,Seattle,0.0,1.0,14061.0,May,Saturday,L
2023,https://www.houstondynamofc.com/competitions/u-s-open-cup/2023/matches/houvsmin-05-23-2023,Tuesday May 23 2023,U.S. Open Cup,Minnesota,4.0,0.0,2947.0,May,Tuesday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsatx-05-27-2023,Saturday May 27 2023,MLS Regular Season,Austin,2.0,1.0,16055.0,May,Saturday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvslafc-06-10-2023,Saturday June 10 2023,MLS Regular Season,LAFC,4.0,0.0,15366.0,June,Saturday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvssj-06-21-2023,Wednesday June 21 2023,MLS Regular Season,San Jose,4.0,1.0,14249.0,June,Wednesday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsskc-07-08-2023,Saturday July 8 2023,MLS Regular Season,Kansas City,2.0,2.0,16489.0,July,Saturday,D
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsmin-07-12-2023,Wednesday July 12 2023,MLS Regular Season,Minnesota,0.0,3.0,11855.0,July,Wednesday,L
2023,https://www.houstondynamofc.com/competitions/leagues-cup/2023/matches/cslvshou-07-25-2023,Tuesday July 25 2023,Leagues Cup,Houston,2.0,2.0,12627.0,July,Tuesday,D
2023,https://www.houstondynamofc.com/competitions/leagues-cup/2023/matches/pacvshou-08-02-2023,Wednesday August 2 2023,Leagues Cup,Houston,0.0,0.0,10438.0,August,Wednesday,D
2023,https://www.houstondynamofc.com/competitions/leagues-cup/2023/matches/cltvshou-08-07-2023,Monday August 7 2023,Leagues Cup,Houston,2.0,1.0,9188.0,August,Monday,W
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvspor-08-20-2023,Sunday August 20 2023,MLS Regular Season,Portland,5.0,0.0,12670.0,August,Sunday,W
